Dates,Labels,diff,yahoo_content_scores,yahoo_title_scores,yahoo_firstP_scores,businessinsider_content_scores,businessinsider_title_scores,businessinsider_firstP_scores,marketwatch_content_scores,marketwatch_title_scores,marketwatch_firstP_scores,title_scores,firstP_scores,content_scores,title_scores1,firstP_scores1,content_scores1
3/11/19,1,0.470001,0.12237727,0.08305,0.238537222,0.181404139,0.1869,0.077066667,0.175434901,-0.031175,0.25932,0.079591667,0.191641296,0.15973877,0.134975,0.157801945,0.151890705
3/12/19,0,-0.169998,0.263423046,0.14675,0.398196875,0.073613033,-0.11435,-0.2837,0.089184127,0.00448,0.35232,0.012293333,0.155605625,0.142073402,0.0162,0.057248438,0.16851804
3/13/19,1,1.049988,0.182857161,0.2287,-0.059891667,-0.104511167,-0.21526,-0.03344,0.087277886,0.062928571,0.142752619,0.02545619,0.016473651,0.05520796,0.00672,-0.046665834,0.039172997
3/14/19,1,0.410003,0.216181234,-0.075433333,-0.018061111,0.088818667,0,0.0227,0.051088359,-0.219228571,0.131563095,-0.098220635,0.045400661,0.118696087,-0.037716667,0.002319445,0.152499951
3/15/19,0,-1.180008,0.149954549,-0.158275,0.229191667,0,0,0,-0.056602303,-0.375366667,-0.1345,-0.177880556,0.031563889,0.031117415,-0.0791375,0.114595834,0.074977275
3/18/19,0,-3.100006,0.218405709,-0.04884,0.26308,0.031450877,-0.2615,-0.425333333,0.042700861,-0.09955,-0.100996354,-0.13663,-0.087749896,0.097519149,-0.15517,-0.081126667,0.124928293
3/19/19,1,0.090011,0.15717501,0.032983333,0.1988,0.15788744,0.061475,0.07065,0.115571347,-0.010516667,0.03521,0.027980555,0.101553333,0.143544599,0.047229167,0.134725,0.157531225
3/20/19,1,3.940002,0.243394315,0.285033333,0.26695463,0.23957,0.198066667,0.07945,0.04784258,0.00845,0.026191667,0.16385,0.124198766,0.176935632,0.24155,0.173202315,0.241482158
3/21/19,1,1.190003,0.199166647,0.1204,0.390849444,-0.017306667,0,0.2263,0.038618473,0.1782,0.060351786,0.099533333,0.225833743,0.073492818,0.0602,0.308574722,0.09092999
3/22/19,0,-1.309998,0.283553717,0,0.398191667,-0.131294444,-0.2732,-0.2732,0.063205062,0.02035,0.36565,-0.084283333,0.163547222,0.071821445,-0.1366,0.062495834,0.076129637
3/25/19,1,3.289993,0.23663861,0.064016667,0.406620833,0,0,0,0.131493069,0.08295,0.07405,0.048988889,0.160223611,0.12271056,0.032008334,0.203310417,0.118319305
3/26/19,1,0.329987,0.234131488,0.262825,0.38379375,0,0,0,0.195331353,0.052833333,0.385825,0.105219444,0.256539583,0.14315428,0.1314125,0.191896875,0.117065744
3/27/19,0,-1.980011,0.319948743,0.1909,0.274458333,-0.116114098,-0.303966667,0.040266667,0.115996975,-0.1806,-0.186825,-0.097888889,0.042633333,0.10661054,-0.056533334,0.1573625,0.101917323
3/28/19,1,0.979996,0.43239083,0.07955,0.284996875,0,0,0,-0.018329781,0.054083333,-0.190662222,0.044544444,0.031444884,0.13802035,0.039775,0.142498438,0.216195415
3/29/19,1,0.300003,0.32057813,0,0.087733333,0.013103663,-0.195,0.27526,0.18440569,0,0.157316667,-0.065,0.173436667,0.172695828,-0.0975,0.181496667,0.166840897
4/1/19,1,0.869995,0.212844476,0.19504,0.103287333,0.216335,0.4588,0.765,0.094594444,-0.0258,0.48385,0.209346667,0.450712444,0.174591307,0.32692,0.434143667,0.214589738
4/2/19,1,4.059998,0.266843295,0.31845,0.05352,0.197312839,0,0.02959,0.330146667,0,0.28595,0.10615,0.12302,0.2647676,0.159225,0.041555,0.232078067
4/3/19,0,-0.960007,0.006945076,-0.1307,0.247825,0.083825379,0.12712,0.07329,0.14176377,0.0009,0.27315625,-0.000893333,0.198090417,0.077511408,-0.00179,0.1605575,0.045385228
4/4/19,1,0,0.168366667,0,-0.4767,0.218356667,-0.2263,0.060566667,0.096546372,-0.291957143,0.132174286,-0.172752381,-0.094653016,0.161089902,-0.11315,-0.208066667,0.193361667
4/5/19,0,-1.160004,0.313785759,0.61815,0.27145,0.249091304,-0.0516,0.5141,0.194838048,0.134066667,0.229622222,0.233538889,0.338390741,0.252571704,0.283275,0.392775,0.281438532
4/8/19,0,-0.280014,-0.020596667,-0.2997,0.26196,0,0,0,0.106640783,-0.056575,0.1683375,-0.118758333,0.1434325,0.028681372,-0.14985,0.13098,-0.010298334
4/9/19,1,1.960007,0.237489473,0.113333333,0.049527778,0.107808108,0.6705,-0.0997,0.073081618,0.366875,-0.02328,0.383569444,-0.024484074,0.139459733,0.391916667,-0.025086111,0.172648791
